,fullId,y,yFull
0,1004f30be305f33d28a1548e344f0e2e,WallArt,wallart globe blue spruce 
1,100f39dce7690f59efb94709f30ce0d2,Chair,chair recliner reclining lounger couch carpet
2,101354f9d8dede686f7b08d9de913afe,Speaker,speaker attributes loudspeaker unit system sound audio music
3,1018f01d42ae7fad52249d8432f6087e,Sword,sword blade brand steel weapon
4,1022fe7dd03f6a4d4d5ad9f13ac9f4e7,Chair,chair officechair office fauteuil de bureau
5,1028b32dc1873c2afe26a3ac360dbd4,Chair,chair officesidechair visavis stackable office designer citterio
6,1029fd5d71a06ea32ea98d69e91ba870,ChestOfDrawers,chestofdrawers chest of drawers bureau dresser thos moser tall with
7,102a6b7809f4e51813842bc8ef6fe18,Computer,computer desktop alienware area case pc
8,102ea1d8d5fe24e8485059ffe7a2f9c7,, jacuzzi agua decoracion decoration furniture jacizzi mueble piscina relax rubicundo water
9,1033ee86cc8bac4390962e4fb7072b86,Chair,chair armchair the cit eacute chaise french furniture cy prouve tterrible vitra
10,104221f8a5b6676aa1dda33d5a7c8c38,Table,table accenttable roundtable coffee cocktail eileen gray bauhaus chair chairs chaise lounge darrell smith end furniture modern sofa texture textures
11,10433e5bd8fa2a337b00c7b93209c459,, planter concrete round in cylinder details flower furnishing landscape architecture pot sidewalk site street
12,1043b403dd2e79128081f4adb71040,Plant,plant flora life rose boy flower girl landscape love nature petal red romance single z zman
13,1046b3d5a381a8902e5ae31c6c631a39,VideoGameController,videogamecontroller stanfordscenedbmodels scenegallerymodels control controller dual shock analog play playstation sony station
14,10477652cbfcbc0eeda994bbf9145c8e,PersonStanding,personstanding person rose dewitt bukater boarding dress man titanic
15,1049af17ad48aaeb6d41c42f7ade8c8,_StanfordSceneDBModels, stanfordscenedbmodels scenegallerymodels pictureframe picture frame digital android display eight high inch mountain photo resolution screen touch
16,10507ae95f984daccd8f3fe9ca2145e1,Couch,couch sofa lounge modern futon furniture
17,1061c1b4af7fd99777f4e9e0a7e4c2,Candle,candle taper wax light
18,106676e68e8031e51085ede6a3c1fc8b,, toilet can commode crapper pot potty stool throne follow me geometry
19,106d2b545cadbbba005531e2f53712,Fan,fan vornado desk electric
20,1074bdcb3c2032fe0f3f8b6e1796773,ChestOfDrawers,chestofdrawers dresser chest of drawers bureau scandanavian
21,107637b6bdf8129d4904d89e9169817b,Couch,couch love seat loveseat tete a vis ikea kramfors architecture bench chair chaise chesterfield design furniture interior seating
22,1077080c3c8c6c71bf4af39142c10db1,Desk,desk herman miller reg eames left hand drawer from smart furniture designer modern office furiture
23,1077ec2ad50f4d1e635469b95109803c,ChestOfDrawers,chestofdrawers chest of drawers bureau dresser pounds inc small nightstand wood
24,107866d38cbda61bd95833de9ef0110c,, cabinet fire hose extinguisher
25,107e37526a6c86ca3560954e7d85cd64,_StanfordSceneDBModels, stanfordscenedbmodels chess cheat bromus secalinus d challenge set boardgame game
26,10813c17dce1786de3f7a74e12a274ef,, rack
27,1086e8da6237a55aeccd82bb51193a7f,, arrow bow quiver sharp
28,108ad3a805249f426ef4e1604526a95,Helicopter,helicopter chopper whirlybird eggbeater blue dragon greenbrier high school
29,109574a012a47717924923601a5ffbc7,, table night
30,109d55a137c042f5760315ac3bf2c13e,Bottle,bottle stanfordscenedbmodels winebottle wine decorative glass pretty
31,109db03133db57937ff6ace05b36a5,ChestOfDrawers,chestofdrawers dresser attributestrain chest of drawers bureau mirage dark frame designed by john a weick ra amp ap leed dining tables end hawaii honolulu is part functional sculptures and the floating furniture sereis that includes coffee sizes writing
32,10a200395145c61aea2f5d52559debc,StandingClock,standingclock clock grandfather longcase gold inlaid horloge living room mantle object or ornamentation peice temps time wood
33,10a20d1717ef260c5c2ffa1ebd96943,, shell itccinc
34,10a75ef76166772a65327266daecd868,Plant,plant live oak d tree evergreen large shade quercus virginiana
35,10a885f5971d9d4ce858db1dc3499392,Suitcase,suitcase bag traveling travelling grip louis vuitton ii france french
36,10ab751f4eb409fa26b714303ae746a,Umbrella,umbrella attributes rain
37,10adc13570a8b6e3bcceec49967c0de7,Bench,bench shoe shoes furniture wood homemade
38,10b20f680011a4d7683d931288a9d25a,TV,tv television receiver set idiot box boob tube telly goggle 
39,10b43623dbc8ab25ad5067eac75a07f7,Bench,bench forms surfaces reg backless trio trade fsc certified ip eacute wood slats architectural architecture benches and formsandsurfaces furniture ipe landscape sbtro seating site six foot wooden
40,10b81dfbb3ba3e8835836c728d324152,Mirror,mirror kare italian baroque silver x spiegel design dining room esszimmer flur hall lifestyle living speisezimmer trendy wohnen
41,10be2b59cbb7d62399f293951bd5fd3c,_StanfordSceneDBModels, stanfordscenedbmodels personstanding person man boy dude human male people teen young
42,10c484963692d3c87d40405e5ee68b4f,ChestOfDrawers,chestofdrawers dresser chest of drawers bureau neo series drawer architecture furniture
43,10c706f946fa0f3ea3056fa1e8da3997,WallArt,wallart picture image icon ikon 
44,10cb0ff37a8fe7a7144db9fce035b924,, hotel cheap baiitsu case neuromancer ninsei willaim gibson
45,10d174a00639990492d9da2668ec34c,Chair,chair officechair haworth zody sze ma executive office seating task
46,10d3d5961e00b2133ff038bc77759685,Bottle,bottle absolut mandarin alcohol avs design vodka
47,10dbd3853ac93147a616caf97d73fa02,TV,tv television receiver set idiot box boob tube telly goggle detailed plasma detail sketchgamer widescreen
48,10dde363ace4b6f7d829a060ca0c32f6,, roland mc groovebox drumcomputer synth
49,10de9af4e91682851e5f7bff98fb8d02,Chair,chair recliner arm coupe leather architecture furniture seating
50,10e87db71c1133a7aad9729b1fc37be5,, helipad helicopter pad landing
51,10eb10fe18126d45b97ad864945165a1,Bookcase,bookcase 3shelves shelf shaker book shelves popular woodworking woodwork
52,10eef2596b7d3a80afa3b1b4d906a5ac,TrashBin,trashbin bin compost garden landscape
53,10f20b7a11083584cc13fc397d212ee7,, air split unit cond indoor aircond office equiptment
54,10f6e09036350e92b3f21f1137c3c347,Mug,mug translusent yellow 
55,10fb3744be2144e3cb2a965e75be701c,TrashBin,trashbin urn series ash campus furniture dumor landscape architecture mall outdoor furnishings park site steel street
56,1101146651cd32a1bd09c0f277d16187,Bed,bed loftbed american girl poster americangirl doll
57,1102f999ad58b5c822bcbff1aefac825,, coat hanger clothes dress wall mounted carpentry decoration project
58,110c3f0ef557293fe6c89f594746e7d7,, pegasus stargate atlantis dunsire gavin universe
59,110ddaf4740511d59a1974f504647073,Books,books book my 
60,111519c11fd276485f7e9425b1ff625d,_StanfordSceneDBModels, stanfordscenedbmodels mixer blender kitchen equipment utensil kitchenware mischen mischer mix mixen quirl severin
61,111720e8cd4c613492d9da2668ec34c,Chair,chair officesidechair haworth composites guest office stacking stool task
62,11183af410a81c186f525e79a05bbcb3,Book,book 
63,111bdf14db7a16cd60467dddaf5cfe3f,, hart stag george w cagework dodecahedron icosahedron pentagons polyhedra polyhedral polyhedron truncated
64,111cb08c8121b8411749672386e0b711,Chair,chair butterfly w fabric pattern architecture furniture livingspace room seating
65,112484c16b98270710d543c5222bbf6d,Credenza,credenza randomsetstudymodels credence custom by candex office furniture
66,1129a07c75f5a709cf004563556ddb36,Lamp,lamp floorlamp floor kare gooseneck purple sl bogen design lampe leuchte light lila stylish trendy
67,11358c94662a68117e66b3e5c11f24d4,Chair,chair officechair modern office red
68,1135ab554f69faeec19a59cdcb309b91,, partition divider larg room
69,113bc1faff8ba19668821642e9a54505,, weight free exercising balance gewicht peso poids scale waage
70,114297d26314bd233e25c4a6e2e9361f,, brush toilett
71,11448f34681c545439f3410d5f76299b,Computer,computer laptop jvc mp x p berlin box cat cave cavemen china circuits company cyrix dumb factory flame fruit funny ghz gigahertz good hong hp ic imac integrated intel iphone jackson japan japanese kebabman kong look mac manh medigo medigoflame men michael micintoch micro microproccessor microprocessor modeler moscow notebook paris pc personal phat phatcat potato proccessor processor proffesional shanghai sony stupid tags technology tokyo tsingtao vaio video xeon xord yeah zheijiang zxt
72,114509277e76e413c8724d5673a063a6,Bottle,bottle winebottle attributes wine ml option bor botella bottiglia bouteille red rouge tinto vin vino
73,114ada02ab35426af5afb395b99ae069,GuitarStand,guitarstand gitara
74,114aff55d9933650a83967b36ab91a2e,_StanfordSceneDBModels, stanfordscenedbmodels statue sculpture beeld rome standbeeld vrouw woman
75,114f65a1635af7f862237730c52678c5,_StanfordSceneDBModels, stanfordscenedbmodels milkcarton fooditem milk
76,115136d967aafb7d58a311513e993aad,Counter,counter oven wood set top stove component kitchen
77,11525a18678f7ce6ae1e1181f20bb9c8,Chair,chair officechair silla oficina office
