,fullId,y,yFull
0,1004f30be305f33d28a1548e344f0e2e,WallArt,wallart globe blue spruce 
1,100f39dce7690f59efb94709f30ce0d2,Chair,chair recliner reclining lounger couch carpet
2,101354f9d8dede686f7b08d9de913afe,Speaker,speaker attributes loudspeaker unit system sound audio music
3,1018f01d42ae7fad52249d8432f6087e,Sword,sword blade brand steel weapon
4,1022fe7dd03f6a4d4d5ad9f13ac9f4e7,Chair,chair officechair office fauteuil de bureau
5,1028b32dc1873c2afe26a3ac360dbd4,Chair,chair officesidechair visavis stackable office designer citterio
6,1029fd5d71a06ea32ea98d69e91ba870,ChestOfDrawers,chestofdrawers chest of drawers bureau dresser thos moser tall with
7,102a6b7809f4e51813842bc8ef6fe18,Computer,computer desktop alienware area case pc
8,1033ee86cc8bac4390962e4fb7072b86,Chair,chair armchair the cit eacute chaise french furniture cy prouve tterrible vitra
9,104221f8a5b6676aa1dda33d5a7c8c38,Table,table accenttable roundtable coffee cocktail eileen gray bauhaus chair chairs chaise lounge darrell smith end furniture modern sofa texture textures
10,1043b403dd2e79128081f4adb71040,Plant,plant flora life rose boy flower girl landscape love nature petal red romance single z zman
11,1046b3d5a381a8902e5ae31c6c631a39,VideoGameController,videogamecontroller stanfordscenedbmodels scenegallerymodels control controller dual shock analog play playstation sony station
12,10477652cbfcbc0eeda994bbf9145c8e,PersonStanding,personstanding person rose dewitt bukater boarding dress man titanic
13,1049af17ad48aaeb6d41c42f7ade8c8,_StanfordSceneDBModels, stanfordscenedbmodels scenegallerymodels pictureframe picture frame digital android display eight high inch mountain photo resolution screen touch
14,10507ae95f984daccd8f3fe9ca2145e1,Couch,couch sofa lounge modern futon furniture
15,1061c1b4af7fd99777f4e9e0a7e4c2,Candle,candle taper wax light
16,106d2b545cadbbba005531e2f53712,Fan,fan vornado desk electric
17,1074bdcb3c2032fe0f3f8b6e1796773,ChestOfDrawers,chestofdrawers dresser chest of drawers bureau scandanavian
18,107637b6bdf8129d4904d89e9169817b,Couch,couch love seat loveseat tete a vis ikea kramfors architecture bench chair chaise chesterfield design furniture interior seating
19,1077080c3c8c6c71bf4af39142c10db1,Desk,desk herman miller reg eames left hand drawer from smart furniture designer modern office furiture
20,1077ec2ad50f4d1e635469b95109803c,ChestOfDrawers,chestofdrawers chest of drawers bureau dresser pounds inc small nightstand wood
21,107e37526a6c86ca3560954e7d85cd64,_StanfordSceneDBModels, stanfordscenedbmodels chess cheat bromus secalinus d challenge set boardgame game
22,108ad3a805249f426ef4e1604526a95,Helicopter,helicopter chopper whirlybird eggbeater blue dragon greenbrier high school
23,109d55a137c042f5760315ac3bf2c13e,Bottle,bottle stanfordscenedbmodels winebottle wine decorative glass pretty
24,109db03133db57937ff6ace05b36a5,ChestOfDrawers,chestofdrawers dresser attributestrain chest of drawers bureau mirage dark frame designed by john a weick ra amp ap leed dining tables end hawaii honolulu is part functional sculptures and the floating furniture sereis that includes coffee sizes writing
25,10a200395145c61aea2f5d52559debc,StandingClock,standingclock clock grandfather longcase gold inlaid horloge living room mantle object or ornamentation peice temps time wood
26,10a75ef76166772a65327266daecd868,Plant,plant live oak d tree evergreen large shade quercus virginiana
27,10a885f5971d9d4ce858db1dc3499392,Suitcase,suitcase bag traveling travelling grip louis vuitton ii france french
28,10ab751f4eb409fa26b714303ae746a,Umbrella,umbrella attributes rain
29,10adc13570a8b6e3bcceec49967c0de7,Bench,bench shoe shoes furniture wood homemade
30,10b20f680011a4d7683d931288a9d25a,TV,tv television receiver set idiot box boob tube telly goggle 
31,10b43623dbc8ab25ad5067eac75a07f7,Bench,bench forms surfaces reg backless trio trade fsc certified ip eacute wood slats architectural architecture benches and formsandsurfaces furniture ipe landscape sbtro seating site six foot wooden
32,10b81dfbb3ba3e8835836c728d324152,Mirror,mirror kare italian baroque silver x spiegel design dining room esszimmer flur hall lifestyle living speisezimmer trendy wohnen
33,10be2b59cbb7d62399f293951bd5fd3c,_StanfordSceneDBModels, stanfordscenedbmodels personstanding person man boy dude human male people teen young
34,10c484963692d3c87d40405e5ee68b4f,ChestOfDrawers,chestofdrawers dresser chest of drawers bureau neo series drawer architecture furniture
35,10c706f946fa0f3ea3056fa1e8da3997,WallArt,wallart picture image icon ikon 
36,10d174a00639990492d9da2668ec34c,Chair,chair officechair haworth zody sze ma executive office seating task
37,10d3d5961e00b2133ff038bc77759685,Bottle,bottle absolut mandarin alcohol avs design vodka
38,10dbd3853ac93147a616caf97d73fa02,TV,tv television receiver set idiot box boob tube telly goggle detailed plasma detail sketchgamer widescreen
39,10de9af4e91682851e5f7bff98fb8d02,Chair,chair recliner arm coupe leather architecture furniture seating
40,10eb10fe18126d45b97ad864945165a1,Bookcase,bookcase 3shelves shelf shaker book shelves popular woodworking woodwork
41,10eef2596b7d3a80afa3b1b4d906a5ac,TrashBin,trashbin bin compost garden landscape
42,10f6e09036350e92b3f21f1137c3c347,Mug,mug translusent yellow 
43,10fb3744be2144e3cb2a965e75be701c,TrashBin,trashbin urn series ash campus furniture dumor landscape architecture mall outdoor furnishings park site steel street
44,1101146651cd32a1bd09c0f277d16187,Bed,bed loftbed american girl poster americangirl doll
45,110ddaf4740511d59a1974f504647073,Books,books book my 
46,111519c11fd276485f7e9425b1ff625d,_StanfordSceneDBModels, stanfordscenedbmodels mixer blender kitchen equipment utensil kitchenware mischen mischer mix mixen quirl severin
47,111720e8cd4c613492d9da2668ec34c,Chair,chair officesidechair haworth composites guest office stacking stool task
48,11183af410a81c186f525e79a05bbcb3,Book,book 
49,111cb08c8121b8411749672386e0b711,Chair,chair butterfly w fabric pattern architecture furniture livingspace room seating
50,112484c16b98270710d543c5222bbf6d,Credenza,credenza randomsetstudymodels credence custom by candex office furniture
51,1129a07c75f5a709cf004563556ddb36,Lamp,lamp floorlamp floor kare gooseneck purple sl bogen design lampe leuchte light lila stylish trendy
52,11358c94662a68117e66b3e5c11f24d4,Chair,chair officechair modern office red
53,11448f34681c545439f3410d5f76299b,Computer,computer laptop jvc mp x p berlin box cat cave cavemen china circuits company cyrix dumb factory flame fruit funny ghz gigahertz good hong hp ic imac integrated intel iphone jackson japan japanese kebabman kong look mac manh medigo medigoflame men michael micintoch micro microproccessor microprocessor modeler moscow notebook paris pc personal phat phatcat potato proccessor processor proffesional shanghai sony stupid tags technology tokyo tsingtao vaio video xeon xord yeah zheijiang zxt
54,114509277e76e413c8724d5673a063a6,Bottle,bottle winebottle attributes wine ml option bor botella bottiglia bouteille red rouge tinto vin vino
55,114ada02ab35426af5afb395b99ae069,GuitarStand,guitarstand gitara
56,114aff55d9933650a83967b36ab91a2e,_StanfordSceneDBModels, stanfordscenedbmodels statue sculpture beeld rome standbeeld vrouw woman
57,114f65a1635af7f862237730c52678c5,_StanfordSceneDBModels, stanfordscenedbmodels milkcarton fooditem milk
58,115136d967aafb7d58a311513e993aad,Counter,counter oven wood set top stove component kitchen
59,11525a18678f7ce6ae1e1181f20bb9c8,Chair,chair officechair silla oficina office
60,1152a5db0db892286c52446b30bba6c,Fireplace,fireplace hearth open mantel
61,1165e8de3cee9f706314698551cd43b,Lamp,lamp tablelamp furniture
62,11666b64fa53ee4c635f2989c7524167,Scissors,scissors pair of blue arts awesome cissors crafts cut cutting knife scis sciser scissers scissy sharp sissors sors
63,1166897b6654b853fb08da8fdf80aee9,ChessBoard,chessboard match lucifer friction cage sketchup d challenge entry bishop chess king knight medieval pawn queen rook
64,1166c209e067833ea44b6af22454453b,Rug,rug carpet carpeting 
65,1178a3589bdbaf19ed0d804498912ba8,ArcadeMachine,arcademachine game baby pac man arcade
66,118083b82350b53cb23e7e4bd2944793,Monitor,monitor attributes monitoring device dell lcd model number wp computer display pc screen
67,11832029ed477440e279c4dee8066f27,_StanfordSceneDBModels, stanfordscenedbmodels model simulation esl electro systems lab ct alarm detector fire smoke system
68,118644ba80aa5048ac59fb466121cd17,_StanfordSceneDBModels, stanfordscenedbmodels fooditem fruit attributestrain apple food nutrient architecture details interior
69,118886a00679ffc9322ed2ef5fc90e25,LightSwitch,lightswitch switch electric electrical old fashioned push button light antique double e vintage
70,118a3c4acff53478af9a03c11330e718,_StanfordSceneDBModels, stanfordscenedbmodels homo man human being d seated with legs crossed actor figure people person
71,1195f3e9e2d20c31af2bcf0b16fddd8f,Calculator,calculator sharp calculadora cient iacute fica scientific
72,1199a072702783fca326b007412ad4b1,Pencil,pencil eraser object sharpened
73,119ddb219f69b1cc492d9da2668ec34c,Chair,chair officechair haworth x task guest desk executive chiar office
